Level Restriction
1,1,2,3,4,4,5
Nautilus,2,Astro,Vanguard
Bard,3,Astro,Mystic
Gnar,4,Astro,Brawler
Teemo,4,Astro,Sniper
Illaoi,1,Battlecast,Brawler
Nocturne,1,Battlecast,Infiltrator
Kog Maw,2,Battlecast,Blaster
Cassiopeia,3,Battlecast,Mystic
Viktor,4,Battlecast,Sorcerer
Urgot,5,Battlecast,Protector
Xayah,1,Celestial,Blademaster
Rakan,2,Celestial,Protector
Xin Zhao,2,Celestial,Protector
Ashe,3,Celestial,Sniper
Lulu,5,Celestial,Mystic
Caitlyn,1,Chrono,Sniper
Twisted Fate,1,Chrono,Sorcerer
Blitzcrank,2,Chrono,Brawler
Shen,2,Chrono,Blademaster
Ezreal,3,Chrono,Blaster
Riven,4,Chrono,Blademaster
Wukong,4,Chrono,Vanguard
Thresh,5,Chrono,Mana Reaver
Fiora,1,Cybernetic,Blademaster
Leona,1,Cybernetic,Vanguard
Lucian,2,Cybernetic,Blaster
Vayne,3,Cybernetic,Sniper
Vi,3,Cybernetic,Brawler
Irelia,4,Cybernetic,Blademaster,Mana Reaver
Ekko,5,Cybernetic,Infiltrator
Jarvan,1,Dark Star,Protector
Mordekaiser,2,Dark Star,Vanguard
Karma,3,Dark Star,Mystic
Shaco,3,Dark Star,Infiltrator
Jhin,4,Dark Star,Sniper
Xerath,5,Dark Star,Sorcerer
Annie,2,Mech Pilot,Sorcerer
Rumble,3,Mech Pilot,Demolitionist
Fizz,4,Mech Pilot,Infiltrator
Malphite,1,Rebel,Brawler
Ziggs,1,Rebel,Demolitionist
Yasuo,2,Rebel,Blademaster
Zed,2,Rebel,Infiltrator
Master Yi,3,Rebel,Blademaster
Jinx,4,Rebel,Blaster
Aurelion Sol,5,Rebel,Starship
Graves,1,Space Pirate,Blaster
Darius,2,Space Pirate,Mana Reaver
Jayce,3,Space Pirate,Vanguard
Gangplank,5,Space Pirate,Demolitionist,Mercenary
Poppy,1,Star Guardian,Vanguard
Zoe,1,Star Guardian,Sorcerer
Ahri,2,Star Guardian,Sorcerer
Neeko,3,Star Guardian,Protector
Syndra,3,Star Guardian,Sorcerer
Soraka,4,Star Guardian,Mystic
Janna,5,Star Guardian,Paragon
