---------------     Set 9     ---------------
1,1,2,3,4,4,5
Aatrox,5,Darkin,Slayer,Juggernaut
Arhi,5,Ionia,Sorcerer
Bel'Veth,5,Empress,Void
Heimerdinger,5,Piltover,Yordle,Technogenius
K'Sante,5,Shurima,Bastion
Ryze,5,Wanderer,Invoker
Senna,5,Shadow Isles,Gunner,Redeemer
Sion,5,Noxus,Bruiser
Aphelios,4,Targon,Deadeye
Azir,4,Shurima,Strategist
Gwen,4,Shadow Isles,Slayer
Jarvan,4,Demacia,Strategist
Kai'Sa,4,Void,Challenger
Lux,4,Demacia,Sorcerer
Nasus,4,Shurima,Juggernaut
Sejuani,4,Freljord,Bruiser
Shen,4,Ionia,Bastion,Invoker
Urgot,4,Zaun,Deadeye
Yasuo,4,Ionia,Challenger
Zeri,4,Zaun,Gunner
Akshan,3,Shurima,Deadeye
Darius,3,Noxus,Juggernaut
Ekko,3,Zaun,Piltover,Rogue
Garen,3,Demacia,Juggernaut
Jayce,3,Piltover,Gunner
Kalista,3,Shadow Isles,Challenger
Karma,3,Ionia,Invoker
Katarina,3,Noxus,Rogue
Lissandra,3,Freljord,Invoker
Rek'Sai,3,Void,Bruiser
Sona,3,Demacia,Multicaster
Taric,3,Targon,Bastion,Sorcerer
Vel'Koz,3,Void,Multicaster,Sorcerer
Ashe,2,Freljord,Deadeye
Galio,2,Demacia,Invoker
Jinx,2,Zaun,Gunner
Kassadin,2,Void,Bastion
Kled,2,Noxus,Yordle,Slayer
Sett,2,Ionia,Juggernaut
Soraka,2,Targon,Invoker
Swain,2,Noxus,Strategist,Sorcerer
Taliyah,2,Shurima,Multicaster
Teemo,2,Yordle,Strategist,Multicaster
Vi,2,Piltover,Bruiser
Warwick,2,Zaun,Juggernaut,Challenger
Zed,2,Ionia,Rogue,Slayer
Cassiopeia,1,Noxus,Shurima,Invoker
Cho'Gath,1,Void,Bruiser
Irelia,1,Ionia,Challenger
Jhin,1,Ionia,Deadeye
Kayle,1,Demacia,Slayer
Malzahar,1,Void,Sorcerer
Maokai,1,Shadow Isles,Bastion
Orianna,1,Piltover,Sorcerer
Poppy,1,Yordle,Demacia,Bastion
Renekton,1,Shurima,Bruiser
Samira,1,Noxus,Challenger
Tristana,1,Yordle,Gunner
Viego,1,Shadow Isles,Rogue
